datetime,timezone,platform,type,media_path,caption_path,status,thumbnail_path
2025-09-01T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day16.jpg,./content/captions/2025-09-01.txt,pending,
2025-09-01T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day16.jpg,./content/captions/2025-09-01.txt,pending,
2025-09-01T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day16_916.mp4,./content/captions/2025-09-01.txt,pending,./assets/images_final/square/day16_thumb.jpg
2025-09-01T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day16_916.mp4,./content/captions/2025-09-01.txt,pending,
2025-09-02T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day17.jpg,./content/captions/2025-09-02.txt,pending,
2025-09-02T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day17.jpg,./content/captions/2025-09-02.txt,pending,
2025-09-02T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day17_916.mp4,./content/captions/2025-09-02.txt,pending,./assets/images_final/square/day17_thumb.jpg
2025-09-02T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day17_916.mp4,./content/captions/2025-09-02.txt,pending,
2025-09-03T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day18.jpg,./content/captions/2025-09-03.txt,pending,
2025-09-03T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day18.jpg,./content/captions/2025-09-03.txt,pending,
2025-09-03T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day18_916.mp4,./content/captions/2025-09-03.txt,pending,./assets/images_final/square/day18_thumb.jpg
2025-09-03T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day18_916.mp4,./content/captions/2025-09-03.txt,pending,
2025-09-04T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day19.jpg,./content/captions/2025-09-04.txt,pending,
2025-09-04T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day19.jpg,./content/captions/2025-09-04.txt,pending,
2025-09-04T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day19_916.mp4,./content/captions/2025-09-04.txt,pending,./assets/images_final/square/day19_thumb.jpg
2025-09-04T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day19_916.mp4,./content/captions/2025-09-04.txt,pending,
2025-09-05T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day20.jpg,./content/captions/2025-09-05.txt,pending,
2025-09-05T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day20.jpg,./content/captions/2025-09-05.txt,pending,
2025-09-05T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day20_916.mp4,./content/captions/2025-09-05.txt,pending,./assets/images_final/square/day20_thumb.jpg
2025-09-05T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day20_916.mp4,./content/captions/2025-09-05.txt,pending,
2025-09-06T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day21.jpg,./content/captions/2025-09-06.txt,pending,
2025-09-06T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day21.jpg,./content/captions/2025-09-06.txt,pending,
